"date","absolute_index","monthly","semiannual_accumulation","annual_accumulation"
"1/1/2012","3422.7900000000000","0.56","2.95","6.22"
"2/1/2012","3438.1900000000001","0.45","3.03","5.84"
"3/1/2012","3445.4099999999999","0.21","2.7","5.24"
"4/1/2012","3467.4600000000000","0.64","2.91","5.1"
"5/1/2012","3479.9400000000001","0.36","2.75","4.99"
"6/1/2012","3482.7199999999998","0.08","2.32","4.92"
"7/1/2012","3497.6999999999998","0.43","2.19","5.2"
"8/1/2012","3512.0400000000000","0.41","2.15","5.24"
"9/1/2012","3532.0599999999999","0.57","2.51","5.28"
"10/1/2012","3552.9000000000001","0.59","2.46","5.45"
"11/1/2012","3574.2199999999998","0.6","2.71","5.53"
"12/1/2012","3602.4600000000000","0.79","3.44","5.84"
"1/1/2013","3633.4400000000001","0.86","3.88","6.15"
"2/1/2013","3655.2399999999998","0.6","4.08","6.31"
"3/1/2013","3672.4200000000001","0.47","3.97","6.59"
"4/1/2013","3692.6199999999999","0.55","3.93","6.49"
"5/1/2013","3706.2800000000002","0.37","3.69","6.5"
"6/1/2013","3715.9200000000001","0.26","3.15","6.7"
"7/1/2013","3717.0300000000002","0.03","2.3","6.27"
"8/1/2013","3725.9499999999998","0.24","1.93","6.09"
"9/1/2013","3738.9899999999998","0.35","1.81","5.86"
"10/1/2013","3760.3000000000002","0.57","1.83","5.84"
"11/1/2013","3780.6100000000001","0.54","2.01","5.77"
"12/1/2013","3815.3899999999999","0.92","2.68","5.91"
"1/1/2014","3836.3699999999999","0.55","3.21","5.59"
"2/1/2014","3862.8400000000001","0.69","3.67","5.68"
"3/1/2014","3898.3800000000001","0.92","4.26","6.15"
"4/1/2014","3924.5000000000000","0.67","4.37","6.28"
"5/1/2014","3942.5500000000002","0.46","4.28","6.37"
"6/1/2014","3958.3200000000002","0.4","3.75","6.52"
"7/1/2014","3958.7199999999998","0.01","3.19","6.5"
"8/1/2014","3968.6199999999999","0.25","2.74","6.51"
"9/1/2014","3991.2399999999998","0.57","2.38","6.75"
"10/1/2014","4008.0000000000000","0.42","2.13","6.59"
"11/1/2014","4028.4400000000001","0.51","2.18","6.56"
"12/1/2014","4059.8600000000001","0.78","2.57","6.41"
"1/1/2015","4110.1999999999998","1.24","3.83","7.14"
"2/1/2015","4160.3400000000001","1.22","4.83","7.7"
"3/1/2015","4215.2600000000002","1.32","5.61","8.13"
"4/1/2015","4245.1899999999996","0.71","5.92","8.17"
"5/1/2015","4276.6000000000004","0.74","6.16","8.47"
"6/1/2015","4310.3900000000003","0.79","6.17","8.89"
"7/1/2015","4337.1099999999997","0.62","5.52","9.56"
"8/1/2015","4346.6499999999996","0.22","4.48","9.53"
"9/1/2015","4370.1199999999999","0.54","3.67","9.49"
"10/1/2015","4405.9499999999998","0.82","3.79","9.93"
"11/1/2015","4450.4499999999998","1.01","4.07","10.48"
"12/1/2015","4493.1700000000001","0.96","4.24","10.67"
"1/1/2016","4550.2299999999996","1.27","4.91","10.71"
"2/1/2016","4591.1800000000003","0.9","5.63","10.36"
"3/1/2016","4610.9200000000001","0.43","5.51","9.39"
"4/1/2016","4639.0500000000002","0.61","5.29","9.28"
"5/1/2016","4675.2299999999996","0.78","5.05","9.32"
"6/1/2016","4691.5900000000001","0.35","4.42","8.84"
"7/1/2016","4715.9899999999998","0.52","3.64","8.74"
"8/1/2016","4736.7399999999998","0.44","3.17","8.97"
"9/1/2016","4740.5299999999997","0.08","2.81","8.48"
"10/1/2016","4752.8599999999997","0.26","2.45","7.87"
"11/1/2016","4761.4200000000001","0.18","1.84","6.99"
"12/1/2016","4775.6999999999998","0.3","1.79","6.29"
"1/1/2017","4793.8500000000004","0.38","1.65","5.35"
"2/1/2017","4809.6700000000001","0.33","1.54","4.76"
"3/1/2017","4821.6899999999996","0.25","1.71","4.57"
"4/1/2017","4828.4399999999996","0.14","1.59","4.08"
"5/1/2017","4843.4099999999999","0.31","1.72","3.6"
"6/1/2017","4832.2700000000004","-0.23","1.18","3"
"7/1/2017","4843.8699999999999","0.24","1.04","2.71"
"8/1/2017","4853.0699999999997","0.19","0.9","2.46"
"9/1/2017","4860.8299999999999","0.16","0.81","2.54"
"10/1/2017","4881.2500000000000","0.42","1.09","2.7"
"11/1/2017","4894.9200000000001","0.28","1.06","2.8"
"12/1/2017","4916.4600000000000","0.44","1.74","2.95"
"1/1/2018","4930.7200000000003","0.29","1.79","2.86"
"2/1/2018","4946.5000000000000","0.32","1.93","2.84"
"3/1/2018","4950.9499999999998","0.09","1.85","2.68"
"4/1/2018","4961.8400000000001","0.22","1.65","2.76"
"5/1/2018","4981.6899999999996","0.4","1.77","2.86"
"6/1/2018","5044.4600000000000","1.26","2.6","4.39"
"7/1/2018","5061.1099999999997","0.33","2.64","4.48"
"8/1/2018","5056.5600000000004","-0.09","2.23","4.19"
"9/1/2018","5080.8299999999999","0.48","2.62","4.53"
"10/1/2018","5103.6899999999996","0.45","2.86","4.56"
"11/1/2018","5092.9700000000003","-0.21","2.23","4.05"
"12/1/2018","5100.6099999999997","0.15","1.11","3.75"
"1/1/2019","5116.9300000000003","0.32","1.1","3.78"
"2/1/2019","5138.9300000000003","0.43","1.63","3.89"
"3/1/2019","5177.4700000000003","0.75","1.9","4.58"
"4/1/2019","5206.9799999999996","0.57","2.02","4.94"
"5/1/2019","5213.7500000000000","0.13","2.37","4.66"
"6/1/2019","5214.2700000000004","0.01","2.23","3.37"
"7/1/2019","5224.1800000000003","0.19","2.1","3.22"
